dataset,frac,seed,method,trtr_f1,trtr_auc,tstr_f1,tstr_auc,utility_gap_f1,utility_gap_auc,utility_ratio_f1,utility_ratio_auc,n_train_real,n_test_real
breast_cancer,0.4,1,bootstrap,0.9772727272727273,0.9953488372093023,0.9425287356321839,0.9944186046511627,0.034743991640543426,0.0009302325581396209,0.9644480085538626,0.9990654205607475,158,68
breast_cancer,0.4,1,gmm,0.9772727272727273,0.9953488372093023,0.9655172413793104,0.9916279069767442,0.011755485893416906,0.0037209302325581506,0.9879711307137129,0.9962616822429906,158,68
breast_cancer,0.4,1,cvae,0.9772727272727273,0.9953488372093023,0.9545454545454546,0.9888372093023255,0.022727272727272707,0.006511627906976791,0.9767441860465117,0.9934579439252336,158,68
breast_cancer,0.4,2,bootstrap,0.9655172413793104,0.9934883720930232,0.9285714285714286,0.9897674418604652,0.036945812807881784,0.0037209302325580396,0.9617346938775511,0.9962546816479402,158,68
breast_cancer,0.4,2,gmm,0.9655172413793104,0.9934883720930232,0.9397590361445783,0.9869767441860465,0.025758205234732046,0.00651162790697668,0.9733218588640276,0.9934456928838952,158,68
breast_cancer,0.4,2,cvae,0.9655172413793104,0.9934883720930232,0.926829268292683,0.987906976744186,0.038687973086627414,0.00558139534883717,0.9599303135888502,0.9943820224719101,158,68
breast_cancer,0.4,3,bootstrap,0.925,0.9962790697674418,0.9113924050632911,0.9911627906976743,0.013607594936708933,0.0051162790697675264,0.9852890865549092,0.9948646125116712,158,68
breast_cancer,0.4,3,gmm,0.925,0.9962790697674418,0.926829268292683,0.9832558139534884,-0.0018292682926829285,0.013023255813953472,1.0019775873434411,0.9869281045751634,158,68
breast_cancer,0.4,3,cvae,0.925,0.9962790697674418,0.9,0.986046511627907,0.025000000000000022,0.01023255813953483,0.9729729729729729,0.9897292250233427,158,68
breast_cancer,0.4,4,bootstrap,0.9662921348314607,0.9874418604651163,0.9438202247191011,0.9827906976744186,0.022471910112359605,0.0046511627906976605,0.9767441860465116,0.9952896844088555,158,68
breast_cancer,0.4,4,gmm,0.9662921348314607,0.9874418604651163,0.9555555555555556,0.9925581395348837,0.0107365792759051,-0.005116279069767415,0.9888888888888889,1.005181347150259,158,68
breast_cancer,0.4,4,cvae,0.9662921348314607,0.9874418604651163,0.9545454545454546,0.9711627906976744,0.011746680286006117,0.016279069767441867,0.9878435517970402,0.9835138954309939,158,68
breast_cancer,0.4,5,bootstrap,0.9555555555555556,0.9916279069767442,0.9438202247191011,0.9888372093023255,0.011735330836454505,0.0027906976744186407,0.987718839822315,0.99718574108818,158,68
breast_cancer,0.4,5,gmm,0.9555555555555556,0.9916279069767442,0.945054945054945,0.9748837209302326,0.010500610500610574,0.016744186046511622,0.9890109890109889,0.9831144465290806,158,68
breast_cancer,0.4,5,cvae,0.9555555555555556,0.9916279069767442,0.9882352941176471,0.9944186046511628,-0.0326797385620915,-0.0027906976744186407,1.0341997264021887,1.0028142589118199,158,68
breast_cancer,0.4,6,bootstrap,0.9647058823529412,0.9925581395348837,0.9534883720930233,0.9944186046511627,0.011217510259917907,-0.0018604651162790198,0.9883720930232558,1.0018744142455482,158,68
breast_cancer,0.4,6,gmm,0.9647058823529412,0.9925581395348837,0.9647058823529412,0.987906976744186,0.0,0.0046511627906976605,1.0,0.9953139643861294,158,68
breast_cancer,0.4,6,cvae,0.9647058823529412,0.9925581395348837,0.9032258064516129,0.9604651162790697,0.06148007590132831,0.03209302325581398,0.9362706530291109,0.9676663542642924,158,68
breast_cancer,0.4,7,bootstrap,0.963855421686747,0.9972093023255814,0.926829268292683,0.9953488372093022,0.03702615339406401,0.0018604651162791308,0.9615853658536586,0.9981343283582089,158,68
breast_cancer,0.4,7,gmm,0.963855421686747,0.9972093023255814,0.925,0.9934883720930232,0.03885542168674694,0.0037209302325581506,0.9596875,0.9962686567164178,158,68
breast_cancer,0.4,7,cvae,0.963855421686747,0.9972093023255814,0.925,0.9962790697674418,0.03885542168674694,0.0009302325581395099,0.9596875,0.9990671641791045,158,68
breast_cancer,0.4,8,bootstrap,0.9767441860465116,0.9972093023255814,0.9655172413793104,0.9953488372093023,0.0112269446672012,0.0018604651162790198,0.9885057471264369,0.998134328358209,158,68
breast_cancer,0.4,8,gmm,0.9767441860465116,0.9972093023255814,0.9761904761904762,0.9944186046511627,0.0005537098560354226,0.0027906976744186407,0.9994331065759637,0.9972014925373134,158,68
breast_cancer,0.4,8,cvae,0.9767441860465116,0.9972093023255814,0.9534883720930233,0.9962790697674418,0.023255813953488302,0.0009302325581395099,0.9761904761904763,0.9990671641791045,158,68
breast_cancer,0.4,9,bootstrap,0.9772727272727273,0.9637209302325581,0.9772727272727273,0.9702325581395349,0.0,-0.006511627906976791,1.0,1.0067567567567568,158,68
breast_cancer,0.4,9,gmm,0.9772727272727273,0.9637209302325581,0.9534883720930233,0.9669767441860465,0.02378435517970401,-0.0032558139534883956,0.9756625202812331,1.0033783783783785,158,68
breast_cancer,0.4,9,cvae,0.9772727272727273,0.9637209302325581,0.9772727272727273,0.9716279069767441,0.0,-0.007906976744185945,1.0,1.008204633204633,158,68
breast_cancer,0.5,0,bootstrap,0.9814814814814815,0.9965277777777778,0.9636363636363636,0.9953703703703703,0.017845117845117886,0.0011574074074074403,0.9818181818181818,0.9988385598141696,198,86
breast_cancer,0.5,0,gmm,0.9814814814814815,0.9965277777777778,0.9629629629629629,0.9890046296296297,0.0185185185185186,0.00752314814814814,0.981132075471698,0.9924506387921023,198,86
breast_cancer,0.5,0,cvae,0.9814814814814815,0.9965277777777778,0.9454545454545454,0.9953703703703703,0.036026936026936074,0.0011574074074074403,0.9632933104631217,0.9988385598141696,198,86
breast_cancer,0.5,1,bootstrap,0.9724770642201835,0.9626736111111112,0.9532710280373832,0.9563078703703705,0.019206036182800368,0.0063657407407407,0.9802503967554222,0.9933874361286444,198,86
breast_cancer,0.5,1,gmm,0.9724770642201835,0.9626736111111112,0.9629629629629629,0.9701967592592593,0.00951410125722063,-0.00752314814814814,0.9902166317260656,1.007814848211602,198,86
breast_cancer,0.5,1,cvae,0.9724770642201835,0.9626736111111112,0.9636363636363636,0.9502314814814815,0.008840700583819916,0.01244212962962965,0.9909090909090909,0.9870754433423504,198,86
breast_cancer,0.5,2,bootstrap,0.9814814814814815,0.9982638888888888,1.0,1.0,-0.01851851851851849,-0.0017361111111111605,1.0188679245283019,1.0017391304347827,198,86
breast_cancer,0.5,2,gmm,0.9814814814814815,0.9982638888888888,0.9724770642201835,0.9976851851851851,0.00900441726129797,0.0005787037037037202,0.9908256880733946,0.9994202898550725,198,86
breast_cancer,0.5,2,cvae,0.9814814814814815,0.9982638888888888,0.9908256880733946,0.9994212962962963,-0.00934420659191304,-0.0011574074074074403,1.0095205123766662,1.001159420289855,198,86
breast_cancer,0.5,3,bootstrap,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,198,86
breast_cancer,0.5,3,gmm,1.0,1.0,0.9908256880733946,1.0,0.00917431192660545,0.0,0.9908256880733946,1.0,198,86
breast_cancer,0.5,3,cvae,1.0,1.0,0.9818181818181818,1.0,0.018181818181818188,0.0,0.9818181818181818,1.0,198,86
breast_cancer,0.5,4,bootstrap,0.9642857142857143,0.9869791666666666,0.9532710280373832,0.9913194444444444,0.01101468624833113,-0.00434027777777779,0.9885773624091381,1.0043975373790677,198,86
breast_cancer,0.5,4,gmm,0.9642857142857143,0.9869791666666666,0.9541284403669725,0.9756944444444444,0.010157273918741772,0.01128472222222221,0.9894665307509345,0.988566402814424,198,86
breast_cancer,0.5,4,cvae,0.9642857142857143,0.9869791666666666,0.9906542056074766,0.9982638888888888,-0.026368491321762333,-0.01128472222222221,1.0273451021114572,1.0114335971855761,198,86
breast_cancer,0.5,5,bootstrap,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,198,86
breast_cancer,0.5,5,gmm,1.0,1.0,0.9724770642201835,0.9985532407407407,0.02752293577981646,0.0014467592592593004,0.9724770642201835,0.9985532407407407,198,86
breast_cancer,0.5,5,cvae,1.0,1.0,0.9724770642201835,0.9988425925925926,0.02752293577981646,0.0011574074074074403,0.9724770642201835,0.9988425925925926,198,86
breast_cancer,0.5,6,bootstrap,0.9541284403669725,0.9918981481481481,0.9357798165137615,0.9780092592592593,0.01834862385321101,0.01388888888888884,0.9807692307692307,0.985997666277713,198,86
breast_cancer,0.5,6,gmm,0.9541284403669725,0.9918981481481481,0.9532710280373832,0.9907407407407407,0.0008574123295893576,0.0011574074074074403,0.9991013659237957,0.9988331388564761,198,86
breast_cancer,0.5,6,cvae,0.9541284403669725,0.9918981481481481,0.9557522123893806,0.984375,-0.0016237720224080432,0.00752314814814814,1.0017018379850238,0.9924154025670945,198,86
breast_cancer,0.5,7,bootstrap,0.9380530973451328,0.9490740740740742,0.9464285714285714,0.9620949074074074,-0.008375474083438639,-0.01302083333333326,1.0089285714285714,1.013719512195122,198,86
breast_cancer,0.5,7,gmm,0.9380530973451328,0.9490740740740742,0.9285714285714286,0.9557291666666667,0.009481668773704155,-0.00665509259259256,0.9898921832884098,1.0070121951219513,198,86
breast_cancer,0.5,7,cvae,0.9380530973451328,0.9490740740740742,0.9464285714285714,0.9560185185185186,-0.008375474083438639,-0.00694444444444442,1.0089285714285714,1.0073170731707317,198,86
breast_cancer,0.5,8,bootstrap,0.9298245614035088,0.9592013888888888,0.9464285714285714,0.9632523148148149,-0.01660401002506262,-0.004050925925926041,1.0178571428571428,1.0042232277526397,198,86
breast_cancer,0.5,8,gmm,0.9298245614035088,0.9592013888888888,0.9532710280373832,0.9794560185185185,-0.023446466633874397,-0.02025462962962965,1.0252160112854876,1.0211161387631975,198,86
breast_cancer,0.5,8,cvae,0.9298245614035088,0.9592013888888888,0.8947368421052632,0.9369212962962963,0.03508771929824561,0.02228009259259256,0.9622641509433962,0.9767722473604827,198,86
breast_cancer,0.5,9,bootstrap,0.9811320754716981,1.0,0.9514563106796117,0.9959490740740741,0.029675764792086445,0.00405092592592593,0.9697535474234503,0.9959490740740741,198,86
breast_cancer,0.5,9,gmm,0.9811320754716981,1.0,0.9714285714285714,0.9976851851851851,0.009703504043126698,0.0023148148148148806,0.9901098901098901,0.9976851851851851,198,86
breast_cancer,0.5,9,cvae,0.9811320754716981,1.0,0.9818181818181818,0.9982638888888888,-0.0006861063464836947,0.0017361111111111605,1.0006993006993008,0.9982638888888888,198,86
diabetes,0.2,0,bootstrap,0.37037037037037035,0.69375,0.5,0.7427083333333334,-0.12962962962962965,-0.04895833333333344,1.35,1.0705705705705708,107,46
diabetes,0.2,0,gmm,0.37037037037037035,0.69375,0.3333333333333333,0.7552083333333334,0.037037037037037035,-0.06145833333333339,0.9,1.0885885885885886,107,46
diabetes,0.2,0,cvae,0.37037037037037035,0.69375,0.25,0.6541666666666667,0.12037037037037035,0.039583333333333304,0.675,0.942942942942943,107,46
diabetes,0.2,1,bootstrap,0.38461538461538464,0.7468750000000001,0.41379310344827586,0.6947916666666668,-0.02917771883289122,0.05208333333333326,1.0758620689655172,0.9302649930264995,107,46
diabetes,0.2,1,gmm,0.38461538461538464,0.7468750000000001,0.4444444444444444,0.6364583333333333,-0.05982905982905978,0.11041666666666672,1.1555555555555554,0.8521617852161785,107,46
diabetes,0.2,1,cvae,0.38461538461538464,0.7468750000000001,0.6666666666666666,0.7822916666666667,-0.282051282051282,-0.03541666666666665,1.7333333333333332,1.0474198047419805,107,46
diabetes,0.2,2,bootstrap,0.5714285714285714,0.8458333333333333,0.6153846153846154,0.8312499999999999,-0.04395604395604402,0.014583333333333393,1.076923076923077,0.9827586206896551,107,46
diabetes,0.2,2,gmm,0.5714285714285714,0.8458333333333333,0.5945945945945946,0.7510416666666667,-0.02316602316602323,0.09479166666666661,1.0405405405405406,0.8879310344827587,107,46
diabetes,0.2,2,cvae,0.5714285714285714,0.8458333333333333,0.5925925925925926,0.7770833333333333,-0.021164021164021163,0.06874999999999998,1.037037037037037,0.9187192118226601,107,46
diabetes,0.2,3,bootstrap,0.6428571428571429,0.8208333333333333,0.5517241379310345,0.775,0.09113300492610843,0.04583333333333328,0.8582375478927202,0.9441624365482234,107,46
diabetes,0.2,3,gmm,0.6428571428571429,0.8208333333333333,0.43478260869565216,0.8427083333333334,0.20807453416149074,-0.02187500000000009,0.6763285024154588,1.0266497461928936,107,46
diabetes,0.2,3,cvae,0.6428571428571429,0.8208333333333333,0.625,0.7604166666666667,0.017857142857142905,0.06041666666666656,0.9722222222222221,0.9263959390862946,107,46
diabetes,0.2,4,bootstrap,0.32,0.7041666666666667,0.5,0.6614583333333333,-0.18,0.04270833333333346,1.5625,0.9393491124260354,107,46
diabetes,0.2,4,gmm,0.32,0.7041666666666667,0.5384615384615384,0.746875,-0.21846153846153843,-0.04270833333333324,1.6826923076923075,1.0606508875739644,107,46
diabetes,0.2,4,cvae,0.32,0.7041666666666667,0.41379310344827586,0.6072916666666667,-0.09379310344827585,0.09687500000000004,1.293103448275862,0.8624260355029585,107,46
diabetes,0.2,5,bootstrap,0.6666666666666666,0.8635416666666667,0.6896551724137931,0.8447916666666666,-0.02298850574712652,0.018750000000000044,1.0344827586206897,0.9782870928829915,107,46
diabetes,0.2,5,gmm,0.6666666666666666,0.8635416666666667,0.5,0.8052083333333334,0.16666666666666663,0.05833333333333324,0.75,0.9324487334137516,107,46
diabetes,0.2,5,cvae,0.6666666666666666,0.8635416666666667,0.7142857142857143,0.9197916666666668,-0.04761904761904767,-0.05625000000000013,1.0714285714285716,1.0651387213510255,107,46
diabetes,0.2,6,bootstrap,0.4,0.715625,0.4827586206896552,0.7354166666666666,-0.08275862068965517,-0.019791666666666652,1.206896551724138,1.0276564774381367,107,46
diabetes,0.2,6,gmm,0.4,0.715625,0.5333333333333333,0.7510416666666666,-0.1333333333333333,-0.03541666666666665,1.3333333333333333,1.049490538573508,107,46
diabetes,0.2,6,cvae,0.4,0.715625,0.4666666666666667,0.7291666666666666,-0.06666666666666665,-0.013541666666666674,1.1666666666666665,1.0189228529839884,107,46
diabetes,0.2,7,bootstrap,0.7027027027027027,0.8458333333333333,0.7222222222222222,0.8208333333333333,-0.019519519519519468,0.025000000000000022,1.0277777777777777,0.9704433497536945,107,46
diabetes,0.2,7,gmm,0.7027027027027027,0.8458333333333333,0.7741935483870968,0.8895833333333333,-0.07149084568439401,-0.043749999999999956,1.1017369727047146,1.0517241379310345,107,46
diabetes,0.2,7,cvae,0.7027027027027027,0.8458333333333333,0.6829268292682927,0.8562500000000001,0.019775873434410007,-0.01041666666666674,0.9718574108818011,1.0123152709359606,107,46
diabetes,0.2,8,bootstrap,0.6666666666666666,0.825,0.7058823529411765,0.85,-0.03921568627450989,-0.025000000000000022,1.058823529411765,1.0303030303030303,107,46
diabetes,0.2,8,gmm,0.6666666666666666,0.825,0.6486486486486487,0.8104166666666667,0.018018018018017945,0.014583333333333282,0.972972972972973,0.9823232323232324,107,46
diabetes,0.2,8,cvae,0.6666666666666666,0.825,0.65,0.8177083333333334,0.016666666666666607,0.007291666666666585,0.9750000000000001,0.9911616161616162,107,46
diabetes,0.2,9,bootstrap,0.5,0.7510416666666667,0.5333333333333333,0.7416666666666667,-0.033333333333333326,0.009375000000000022,1.0666666666666667,0.9875173370319001,107,46
diabetes,0.2,9,gmm,0.5,0.7510416666666667,0.5185185185185185,0.690625,-0.01851851851851849,0.060416666666666674,1.037037037037037,0.9195561719833565,107,46
diabetes,0.2,9,cvae,0.5,0.7510416666666667,0.5294117647058824,0.6312500000000001,-0.02941176470588236,0.11979166666666663,1.0588235294117647,0.8404993065187241,107,46
diabetes,0.3,0,bootstrap,0.6808510638297872,0.811574074074074,0.6521739130434783,0.7712962962962963,0.028677150786308947,0.040277777777777746,0.9578804347826088,0.9503707929264119,161,69
diabetes,0.3,0,gmm,0.6808510638297872,0.811574074074074,0.5294117647058824,0.8236111111111112,0.15143929912390486,-0.01203703703703718,0.7775735294117647,1.014831717056475,161,69
diabetes,0.3,0,cvae,0.6808510638297872,0.811574074074074,0.6296296296296297,0.8064814814814815,0.05122143420015757,0.0050925925925925375,0.9247685185185186,0.9937250427837993,161,69
diabetes,0.3,1,bootstrap,0.6190476190476191,0.8018518518518518,0.5957446808510638,0.8125,0.023302938196555267,-0.010648148148148184,0.9623567921440261,1.0132794457274827,161,69
diabetes,0.3,1,gmm,0.6190476190476191,0.8018518518518518,0.5909090909090909,0.8018518518518518,0.02813852813852813,0.0,0.9545454545454546,1.0,161,69
diabetes,0.3,1,cvae,0.6190476190476191,0.8018518518518518,0.6666666666666666,0.8731481481481482,-0.04761904761904756,-0.07129629629629641,1.0769230769230769,1.08891454965358,161,69
diabetes,0.3,2,bootstrap,0.6666666666666666,0.8439814814814816,0.6511627906976745,0.8310185185185185,0.015503875968992165,0.012962962962963065,0.9767441860465117,0.9846407021393306,161,69
diabetes,0.3,2,gmm,0.6666666666666666,0.8439814814814816,0.5365853658536586,0.7884259259259261,0.13008130081300806,0.05555555555555547,0.8048780487804879,0.9341744377399891,161,69
diabetes,0.3,2,cvae,0.6666666666666666,0.8439814814814816,0.5853658536585366,0.8263888888888888,0.08130081300813008,0.017592592592592715,0.8780487804878049,0.9791552386176631,161,69
diabetes,0.3,3,bootstrap,0.7111111111111111,0.8643518518518518,0.631578947368421,0.8675925925925926,0.07953216374269012,-0.0032407407407407662,0.888157894736842,1.0037493304767007,161,69
diabetes,0.3,3,gmm,0.7111111111111111,0.8643518518518518,0.6521739130434783,0.7675925925925926,0.05893719806763287,0.09675925925925921,0.9171195652173912,0.888055704338511,161,69
diabetes,0.3,3,cvae,0.7111111111111111,0.8643518518518518,0.6938775510204082,0.8324074074074074,0.017233560090702982,0.03194444444444444,0.9757653061224489,0.9630423138725228,161,69
diabetes,0.3,4,bootstrap,0.5116279069767442,0.7356481481481482,0.5116279069767442,0.737962962962963,0.0,-0.0023148148148148806,1.0,1.0031466331025802,161,69
diabetes,0.3,4,gmm,0.5116279069767442,0.7356481481481482,0.47619047619047616,0.7324074074074074,0.03543743078626804,0.0032407407407407662,0.9307359307359306,0.9955947136563876,161,69
diabetes,0.3,4,cvae,0.5116279069767442,0.7356481481481482,0.5777777777777777,0.7407407407407407,-0.06614987080103352,-0.0050925925925925375,1.1292929292929292,1.0069225928256764,161,69
diabetes,0.3,5,bootstrap,0.6382978723404256,0.8125,0.5454545454545454,0.7435185185185185,0.09284332688588015,0.06898148148148153,0.8545454545454544,0.915099715099715,161,69
diabetes,0.3,5,gmm,0.6382978723404256,0.8125,0.5777777777777777,0.7962962962962963,0.06052009456264784,0.01620370370370372,0.9051851851851851,0.98005698005698,161,69
diabetes,0.3,5,cvae,0.6382978723404256,0.8125,0.5853658536585366,0.7916666666666666,0.052932018681889015,0.02083333333333337,0.9170731707317072,0.9743589743589743,161,69
diabetes,0.3,6,bootstrap,0.5,0.737962962962963,0.6,0.7699074074074073,-0.09999999999999998,-0.03194444444444422,1.2,1.0432873274780423,161,69
diabetes,0.3,6,gmm,0.5,0.737962962962963,0.5714285714285714,0.7273148148148149,-0.0714285714285714,0.010648148148148184,1.1428571428571428,0.9855708908406524,161,69
diabetes,0.3,6,cvae,0.5,0.737962962962963,0.5714285714285714,0.7546296296296298,-0.0714285714285714,-0.01666666666666672,1.1428571428571428,1.0225846925972397,161,69
diabetes,0.3,7,bootstrap,0.6,0.861574074074074,0.46153846153846156,0.8513888888888889,0.1384615384615384,0.010185185185185186,0.7692307692307693,0.9881783987103707,161,69
diabetes,0.3,7,gmm,0.6,0.861574074074074,0.3333333333333333,0.7597222222222222,0.26666666666666666,0.10185185185185186,0.5555555555555556,0.8817839871037076,161,69
diabetes,0.3,7,cvae,0.6,0.861574074074074,0.5714285714285714,0.7791666666666667,0.02857142857142858,0.08240740740740737,0.9523809523809523,0.9043524986566363,161,69
diabetes,0.3,8,bootstrap,0.5365853658536586,0.7643518518518518,0.5116279069767442,0.7828703703703703,0.024957458876914362,-0.01851851851851849,0.9534883720930233,1.0242277407631737,161,69
diabetes,0.3,8,gmm,0.5365853658536586,0.7643518518518518,0.4878048780487805,0.7412037037037037,0.04878048780487809,0.02314814814814814,0.9090909090909091,0.9697153240460327,161,69
diabetes,0.3,8,cvae,0.5365853658536586,0.7643518518518518,0.5,0.7902777777777777,0.03658536585365857,-0.025925925925925908,0.9318181818181818,1.0339188370684433,161,69
diabetes,0.3,9,bootstrap,0.5714285714285714,0.8092592592592592,0.43902439024390244,0.8074074074074075,0.13240418118466896,0.0018518518518517713,0.7682926829268293,0.9977116704805493,161,69
diabetes,0.3,9,gmm,0.5714285714285714,0.8092592592592592,0.4117647058823529,0.7541666666666668,0.15966386554621848,0.05509259259259247,0.7205882352941176,0.9319221967963388,161,69
diabetes,0.3,9,cvae,0.5714285714285714,0.8092592592592592,0.6530612244897959,0.8097222222222222,-0.08163265306122447,-0.0004629629629629983,1.1428571428571428,1.0005720823798627,161,69
diabetes,0.4,0,bootstrap,0.5357142857142857,0.7302766393442622,0.5263157894736842,0.7430840163934426,0.009398496240601517,-0.012807377049180335,0.9824561403508771,1.0175377060680464,214,93
diabetes,0.4,0,gmm,0.5357142857142857,0.7302766393442622,0.5588235294117647,0.6921106557377049,-0.02310924369747902,0.03816598360655732,1.0431372549019609,0.9477376359172222,214,93
diabetes,0.4,0,cvae,0.5357142857142857,0.7302766393442622,0.4745762711864407,0.6808401639344263,0.06113801452784501,0.04943647540983598,0.8858757062146894,0.9323044545773413,214,93
diabetes,0.4,1,bootstrap,0.6567164179104478,0.8363217213114753,0.684931506849315,0.8355532786885247,-0.02821508893886726,0.0007684426229506158,1.0429638854296388,0.999081163859112,214,93
diabetes,0.4,1,gmm,0.6567164179104478,0.8363217213114753,0.6666666666666666,0.8222336065573771,-0.00995024875621886,0.014088114754098213,1.0151515151515151,0.983154670750383,214,93
diabetes,0.4,1,cvae,0.6567164179104478,0.8363217213114753,0.6363636363636364,0.8227459016393442,0.020352781546811416,0.013575819672131062,0.9690082644628099,0.9837672281776417,214,93
diabetes,0.4,2,bootstrap,0.5483870967741935,0.7856045081967213,0.5423728813559322,0.7530737704918032,0.006014215418261304,0.0325307377049181,0.9890329012961118,0.9585914574502771,214,93
diabetes,0.4,2,gmm,0.5483870967741935,0.7856045081967213,0.38461538461538464,0.7120901639344263,0.16377171215880887,0.07351434426229508,0.7013574660633485,0.9064232148679492,214,93
diabetes,0.4,2,cvae,0.5483870967741935,0.7856045081967213,0.5405405405405406,0.7520491803278689,0.007846556233652935,0.0335553278688524,0.9856915739268681,0.957287251385719,214,93
diabetes,0.4,3,bootstrap,0.6181818181818182,0.8217213114754098,0.6296296296296297,0.8363217213114753,-0.011447811447811485,-0.014600409836065475,1.0185185185185186,1.0177680798004987,214,93
diabetes,0.4,3,gmm,0.6181818181818182,0.8217213114754098,0.5901639344262295,0.7674180327868853,0.02801788375558867,0.05430327868852458,0.9546769527483124,0.9339152119700749,214,93
diabetes,0.4,3,cvae,0.6181818181818182,0.8217213114754098,0.6984126984126984,0.8050717213114754,-0.08023088023088021,0.016649590163934413,1.1297852474323062,0.9797381546134664,214,93
diabetes,0.4,4,bootstrap,0.5818181818181818,0.8209528688524591,0.6349206349206349,0.828125,-0.053102453102453095,-0.007172131147540894,1.0912698412698412,1.008736349453978,214,93
diabetes,0.4,4,gmm,0.5818181818181818,0.8209528688524591,0.684931506849315,0.8299180327868853,-0.10311332503113324,-0.008965163934426146,1.1772260273972603,1.0109204368174727,214,93
diabetes,0.4,4,cvae,0.5818181818181818,0.8209528688524591,0.6296296296296297,0.8442622950819673,-0.04781144781144786,-0.023309426229508157,1.082175925925926,1.028393135725429,214,93
diabetes,0.4,5,bootstrap,0.5925925925925926,0.7876536885245902,0.6538461538461539,0.8112192622950819,-0.061253561253561295,-0.023565573770491732,1.1033653846153846,1.0299186991869917,214,93
diabetes,0.4,5,gmm,0.5925925925925926,0.7876536885245902,0.5625,0.7494877049180328,0.03009259259259256,0.03816598360655732,0.94921875,0.9515447154471546,214,93
diabetes,0.4,5,cvae,0.5925925925925926,0.7876536885245902,0.6440677966101694,0.725922131147541,-0.05147520401757688,0.06173155737704916,1.086864406779661,0.9216260162601626,214,93
diabetes,0.4,6,bootstrap,0.6129032258064516,0.7881659836065574,0.6451612903225806,0.7779200819672131,-0.032258064516129004,0.010245901639344357,1.0526315789473684,0.9870003249918751,214,93
diabetes,0.4,6,gmm,0.6129032258064516,0.7881659836065574,0.6075949367088608,0.7722848360655739,0.005308289097590846,0.015881147540983576,0.9913391072618255,0.9798505037374066,214,93
diabetes,0.4,6,cvae,0.6129032258064516,0.7881659836065574,0.6206896551724138,0.8060963114754097,-0.007786429365962189,-0.01793032786885229,1.012704174228675,1.0227494312642182,214,93
diabetes,0.4,7,bootstrap,0.6666666666666666,0.8621926229508197,0.6333333333333333,0.8427254098360656,0.033333333333333326,0.01946721311475408,0.95,0.9774212715389187,214,93
diabetes,0.4,7,gmm,0.6666666666666666,0.8621926229508197,0.5416666666666666,0.8032786885245901,0.125,0.05891393442622961,0.8125,0.9316696375519904,214,93
diabetes,0.4,7,cvae,0.6666666666666666,0.8621926229508197,0.3829787234042553,0.7364241803278688,0.2836879432624113,0.12576844262295084,0.574468085106383,0.8541295306001188,214,93
diabetes,0.4,8,bootstrap,0.4406779661016949,0.7415471311475409,0.53125,0.7387295081967213,-0.0905720338983051,0.002817622950819554,1.2055288461538463,0.9962003454231435,214,93
diabetes,0.4,8,gmm,0.4406779661016949,0.7415471311475409,0.43478260869565216,0.8150614754098361,0.005895357406042745,-0.0735143442622952,0.9866220735785953,1.0991364421416236,214,93
diabetes,0.4,8,cvae,0.4406779661016949,0.7415471311475409,0.5901639344262295,0.7835553278688524,-0.1494859683245346,-0.04200819672131151,1.33921815889029,1.056649395509499,214,93
diabetes,0.4,9,bootstrap,0.631578947368421,0.8563012295081966,0.6206896551724138,0.8373463114754098,0.010889292196007205,0.018954918032786816,0.9827586206896552,0.9778641938378703,214,93
diabetes,0.4,9,gmm,0.631578947368421,0.8563012295081966,0.6296296296296297,0.8263319672131149,0.0019493177387913674,0.02996926229508179,0.9969135802469137,0.9650014956625788,214,93
diabetes,0.4,9,cvae,0.631578947368421,0.8563012295081966,0.6666666666666666,0.860655737704918,-0.03508771929824561,-0.004354508196721341,1.0555555555555556,1.0050852527669758,214,93
diabetes,0.5,0,bootstrap,0.5352112676056338,0.7381578947368421,0.42424242424242425,0.7577302631578948,0.1109688433632095,-0.0195723684210527,0.7926634768740033,1.0265151515151516,268,116
diabetes,0.5,0,gmm,0.5352112676056338,0.7381578947368421,0.4657534246575342,0.6935855263157895,0.06945784294809954,0.04457236842105261,0.8702235039653929,0.9396167557932265,268,116
diabetes,0.5,0,cvae,0.5352112676056338,0.7381578947368421,0.48484848484848486,0.737171052631579,0.050362782757148894,0.0009868421052631193,0.9059011164274323,0.9986631016042782,268,116
diabetes,0.5,1,bootstrap,0.6197183098591549,0.8235197368421053,0.5846153846153846,0.8116776315789473,0.03510292524377023,0.011842105263157987,0.9433566433566435,0.9856201318154583,268,116
diabetes,0.5,1,gmm,0.6197183098591549,0.8235197368421053,0.5974025974025974,0.8144736842105262,0.0223157124565575,0.009046052631579093,0.9639905548996458,0.9890153784701416,268,116
diabetes,0.5,1,cvae,0.6197183098591549,0.8235197368421053,0.5373134328358209,0.7995065789473684,0.08240487702333399,0.024013157894736903,0.8670284938941656,0.9708408228480128,268,116
diabetes,0.5,2,bootstrap,0.5428571428571428,0.8370065789473684,0.5671641791044776,0.8238486842105264,-0.024307036247334768,0.013157894736842035,1.0447761194029852,0.9842798192179211,268,116
diabetes,0.5,2,gmm,0.5428571428571428,0.8370065789473684,0.5846153846153846,0.8136513157894736,-0.04175824175824183,0.023355263157894823,1.076923076923077,0.9720966791118096,268,116
